week_start,revenue,prev_week_revenue,wow_change_pct
2020-10-26,770.0,,
2020-11-02,21842.0,770.0,2736.6
2020-11-09,23647.0,21842.0,8.3
2020-11-16,38168.0,23647.0,61.4
2020-11-23,47898.0,38168.0,25.5
2020-11-30,42943.0,47898.0,-10.3
2020-12-07,59842.0,42943.0,39.4
2020-12-14,47277.0,59842.0,-21.0
2020-12-21,14707.0,47277.0,-68.9
2020-12-28,10268.0,14707.0,-30.2
2021-01-04,9460.0,10268.0,-7.9
2021-01-11,13178.0,9460.0,39.3
2021-01-18,26568.0,13178.0,101.6
2021-01-25,5542.0,26568.0,-79.1
